,Unnamed: 0,region,location,location_link,name,link,rating,rating_num,latitude,longitude,cooking,service,price_quality,environment,excellence_cert,address,price,families,couples,alone,business,friends,mar_may,jun_aug,sep_nov,dec_feb,excellent,very_good,good,bad,very_bad,Italian,first_foreign_new,second_foreign_new,excellent_p,very_good_p,good_p,bad_p,very_p,families_p,couples_p,alone_p,business_p,friends_p,mar_may_p,jun_aug_p,sep_nov_p,dec_feb_p
257,260,-1,-1,-1,-1,-1,3.5,144.0,50.862885,4.695029,3.5,3.0,3.5,3.0,0,-1,-1,44.0,31.0,1.0,5.0,40.0,35.0,35.0,39.0,35.0,13.0,60.0,38.0,21.0,12.0,,,,0.0902777777777778,0.4166666666666671,0.263888888888889,0.145833333333333,0.0833333333333333,0.305555555555556,0.215277777777778,0.00694444444444444,0.0347222222222222,0.277777777777778,0.24305555555555605,0.24305555555555605,0.27083333333333304,0.24305555555555605
258,89,-1,-1,-1,-1,-1,4.0,199.0,50.877983,4.703055,4.0,4.0,3.5,4.0,0,-1,-1,30.0,73.0,4.0,21.0,47.0,35.0,47.0,62.0,55.0,61.0,93.0,20.0,16.0,9.0,,,,0.306532663316583,0.46733668341708506,0.10050251256281402,0.0804020100502513,0.0452261306532663,0.150753768844221,0.366834170854271,0.0201005025125628,0.105527638190955,0.23618090452261298,0.17587939698492497,0.23618090452261298,0.311557788944724,0.276381909547739
259,25,-1,-1,-1,-1,-1,4.5,169.0,50.870998,4.712331,4.5,4.5,4.0,4.0,1,-1,-1,15.0,59.0,3.0,28.0,41.0,39.0,43.0,37.0,50.0,83.0,61.0,15.0,9.0,1.0,,,,0.49112426035503,0.36094674556212997,0.0887573964497041,0.0532544378698225,0.00591715976331361,0.0887573964497041,0.349112426035503,0.0177514792899408,0.165680473372781,0.242603550295858,0.23076923076923103,0.254437869822485,0.21893491124260395,0.29585798816568
260,213,-1,-1,-1,-1,-1,4.0,36.0,50.8792,4.700556,3.5,4.0,3.5,,0,-1,-1,7.0,9.0,3.0,2.0,14.0,7.0,8.0,10.0,11.0,9.0,18.0,3.0,3.0,3.0,,,,0.25,0.5,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.19444444444444395,0.25,0.0833333333333333,0.0555555555555556,0.38888888888888895,0.19444444444444395,0.222222222222222,0.277777777777778,0.305555555555556
261,390,-1,-1,-1,-1,-1,,,50.878483,4.703214,,,,,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,235,-1,-1,-1,-1,-1,4.0,20.0,50.880184,4.699821,4.0,3.5,4.0,,0,-1,-1,1.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,,,,0.1,0.05,0.05,0.05,0.0,0.05,0.1,0.0,0.0,0.1,0.0,0.2,0.05,0.0
263,384,-1,-1,-1,-1,-1,,,50.878288,4.69916,,,,,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,349,-1,-1,-1,-1,-1,3.0,5.0,50.878101,4.69909,,,,,0,-1,-1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2
265,90,-1,-1,-1,-1,-1,3.5,233.0,50.878288,4.702717,3.5,4.0,3.5,3.5,0,-1,-1,11.0,16.0,4.0,8.0,13.0,17.0,17.0,16.0,12.0,22.0,23.0,9.0,6.0,2.0,,,,0.0944206008583691,0.0987124463519313,0.0386266094420601,0.0257510729613734,0.00858369098712446,0.0472103004291846,0.0686695278969957,0.0171673819742489,0.0343347639484979,0.05579399141630901,0.0729613733905579,0.0729613733905579,0.0686695278969957,0.0515021459227468
266,230,-1,-1,-1,-1,-1,4.5,8.0,50.88097,4.69953,,,,,0,-1,-1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.0
267,375,-1,-1,-1,-1,-1,2.5,30.0,50.877891999999996,4.69881,3.0,2.5,3.0,3.0,0,-1,-1,3.0,2.0,1.0,0.0,4.0,3.0,3.0,1.0,4.0,0.0,1.0,4.0,3.0,3.0,,,,0.0,0.0333333333333333,0.133333333333333,0.1,0.1,0.1,0.0666666666666667,0.0333333333333333,0.0,0.133333333333333,0.1,0.1,0.0333333333333333,0.133333333333333
268,370,-1,-1,-1,-1,-1,3.0,45.0,50.878258,4.701694,3.5,3.0,3.0,,0,-1,-1,4.0,2.0,1.0,3.0,2.0,1.0,2.0,7.0,2.0,3.0,2.0,2.0,1.0,4.0,,,,0.0666666666666667,0.0444444444444444,0.0444444444444444,0.0222222222222222,0.0888888888888889,0.0888888888888889,0.0444444444444444,0.0222222222222222,0.0666666666666667,0.0444444444444444,0.0222222222222222,0.0444444444444444,0.155555555555556,0.0444444444444444
269,2,-1,-1,-1,-1,-1,4.5,335.0,50.880736999999996,4.70212,4.5,4.5,4.5,4.5,1,-1,-1,13.0,20.0,7.0,20.0,19.0,26.0,24.0,17.0,18.0,59.0,21.0,4.0,1.0,0.0,,,,0.176119402985075,0.0626865671641791,0.0119402985074627,0.00298507462686567,0.0,0.0388059701492537,0.0597014925373134,0.0208955223880597,0.0597014925373134,0.0567164179104478,0.0776119402985075,0.0716417910447761,0.0507462686567164,0.0537313432835821
270,344,-1,-1,-1,-1,-1,3.0,88.0,50.878071000000006,4.7082809999999995,3.0,3.0,3.5,3.0,0,-1,-1,1.0,4.0,1.0,2.0,11.0,5.0,8.0,7.0,2.0,2.0,9.0,6.0,3.0,2.0,,,,0.0227272727272727,0.10227272727272699,0.0681818181818182,0.0340909090909091,0.0227272727272727,0.0113636363636364,0.0454545454545455,0.0113636363636364,0.0227272727272727,0.125,0.0568181818181818,0.0909090909090909,0.0795454545454545,0.0227272727272727
271,220,-1,-1,-1,-1,-1,3.5,31.0,50.881161,4.714084,4.0,3.5,3.5,,0,-1,-1,0.0,2.0,1.0,0.0,4.0,3.0,2.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,,,,0.0967741935483871,0.0645161290322581,0.0,0.0645161290322581,0.0,0.0,0.0645161290322581,0.032258064516129,0.0,0.129032258064516,0.0967741935483871,0.0645161290322581,0.0645161290322581,0.0
272,231,-1,-1,-1,-1,-1,4.0,15.0,50.878840999999994,4.70316,3.5,,,,0,-1,-1,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,,,,0.133333333333333,0.0666666666666667,0.0666666666666667,0.0,0.0,0.0,0.133333333333333,0.0666666666666667,0.0,0.0666666666666667,0.0666666666666667,0.133333333333333,0.0,0.0666666666666667
273,244,-1,-1,-1,-1,-1,4.0,13.0,50.875568,4.70429,3.0,4.5,4.5,,0,-1,-1,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,4.0,2.0,3.0,1.0,0.0,1.0,,,,0.153846153846154,0.23076923076923103,0.0769230769230769,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.23076923076923103,0.0769230769230769,0.153846153846154,0.0,0.307692307692308
274,251,-1,-1,-1,-1,-1,5.0,4.0,50.87767,4.7037,,,,,0,-1,-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
