Column,name,link,rating,rating_num,ranking,latitude,longitude,stars,excellence_cert,address,price_range,stars_alt,rooms,evaluation,families,couples,alone,business,friends,mar_may,jun_aug,sep_nov,dec_feb_old,languages,price_range_low,price_range_up,avg_price,stars_alt_new,excellent,very_good,good,bad,very_bad,dec_feb,italian,first_foreign_new,second_foreign_new,NA,NA2,excellent_p,very_good_p,good_p,bad_p,very_p,families_p,couples_p,alone_p,business_p,friends_p,mar_may_p,jun_aug_p,sep_nov_p,dec_feb_p,region
30,Park Bed & Breakfast,/Hotel_Review-g188669-d4363357-Reviews-Park_Bed_Breakfast-Leuven_Flemish_Brabant_Province.html,"4,5",16,N. 10 di 26 Bed & Breakfast a Leuven,"50,861469","4,71663",NA,Vedi tutte le foto (16)16,Abdijstraat 56,NA,NA,NA,4.6,2,16,3,12,3,1,1,1,Eccellente0Molto buono0Nella media0Scarso0Pessimo0,Italiano (7),Inglese (5),Olandese (5),NA,NA,NA,NA,12,3,0,0,1,0,NA,NA,NA,NA,NA,"0,75","0,1875",0,"0,125",1,"0,1875","0,75","0,1875","0,0625","0,0625","0,0625",0,Leuven
25,Budget Flats Leuven,/Hotel_Review-g188669-d954169-Reviews-Budget_Flats_Leuven-Leuven_Flemish_Brabant_Province.html,"3,5",44,N. 9 di 19 altri alloggi a Leuven,"50,871754","4,71684",NA,Vedi tutte le foto (48)48,Bierbeekstraat 75,NA,NA,NA,3.3,5,13,6,44,19,3,3,3,Eccellente0Molto buono2Nella media1Scarso0Pessimo0,Italiano (22),Inglese (26),Olandese (13),NA,NA,NA,NA,8,15,11,2,8,3,NA,NA,NA,NA,NA,"0,181818181818182","0,340909090909091","0,25","0,113636363636364","0,295454545454545","0,136363636363636",1,"0,431818181818182","0,0681818181818182","0,0681818181818182","0,0681818181818182","0,0454545454545455",Leuven
8,Ibis Leuven Heverlee,/Hotel_Review-g641779-d3240508-Reviews-Ibis_Leuven_Heverlee-Heverlee_Leuven_Flemish_Brabant_Province.html,4,201,NA,NA,NA,NA,1,Sint-Jansbergsesteenweg 405,NA,NA,NA,3.9,3,48,26,39,24,77,40,48,Eccellente6Molto buono18Nella media6Scarso3Pessimo0,Italiano (19),Inglese (17),Francese (12),NA,NA,NA,NA,13,21,11,3,0,33,NA,NA,NA,NA,NA,"0,0646766169154229","0,104477611940299","0,054726368159204","0,0149253731343284","0,238805970149254","0,129353233830846","0,194029850746269","0,119402985074627","0,383084577114428","0,199004975124378","0,238805970149254","0,0149253731343284",Leuven
37,de bron Heverlee,/Hotel_Review-g641779-d13825482-Reviews-De_bron_Heverlee-Heverlee_Leuven_Flemish_Brabant_Province.html,NA,NA,NA,"50,862919","4,70846",NA,0,Bronlaan 3,NA,NA,NA,3.9,3,48,26,39,24,77,40,48,Eccellente6Molto buono18Nella media6Scarso3Pessimo0,Italiano (19),Inglese (17),Francese (12),NA,NA,NA,NA,13,21,11,3,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leuven
21,Lodging at 8,/Hotel_Review-g188669-d1166577-Reviews-Lodging_at_8-Leuven_Flemish_Brabant_Province.html,"4,5",53,N. 5 di 26 Bed & Breakfast a Leuven,NA,NA,NA,Vedi tutte le foto (14)14,Weldadigheidsstraat 8,NA,NA,NA,4.4,2,12,6,8,6,17,12,8,Eccellente5Molto buono1Nella media0Scarso1Pessimo0,Italiano (5),Inglese (7),Olandese (2),NA,NA,NA,NA,3,1,1,0,0,7,NA,NA,NA,NA,NA,"0,0566037735849057","0,0188679245283019","0,0188679245283019","0,0377358490566038","0,226415094339623","0,113207547169811","0,150943396226415","0,113207547169811","0,320754716981132","0,226415094339623","0,150943396226415",0,Leuven
55,Bed & Breakfast Alizee,/Hotel_Review-g188669-d3366001-Reviews-Bed_Breakfast_Alizee-Leuven_Flemish_Brabant_Province.html,5,15,N. 8 di 26 Bed & Breakfast a Leuven,"50,882339","4,70453",NA,Vedi tutte le foto (5)5,Sint-Maartenstraat 41,NA,NA,NA,5,0,3,1,1,1,1,0,0,Eccellente1Molto buono0Nella media0Scarso0Pessimo0,Italiano (1),Inglese (1),Olandese (1),NA,NA,NA,NA,3,0,0,0,0,1,NA,NA,NA,NA,NA,"0,2",0,0,0,"0,2","0,0666666666666667","0,0666666666666667","0,0666666666666667","0,0666666666666667",0,0,0,Leuven
24,Hotel New Damshire,/Hotel_Review-g188669-d536154-Reviews-Hotel_New_Damshire-Leuven_Flemish_Brabant_Province.html,"3,5",111,N. 13 di 18 hotel a Leuven,"50,87595","4,697735",NA,Vedi tutte le foto (56)56,Schapenstraat 1,NA,NA,NA,3.3,4,33,17,25,17,39,23,22,Eccellente0Molto buono11Nella media9Scarso6Pessimo0,Italiano (17),Inglese (17),Olandese (9),NA,NA,NA,NA,2,12,13,6,0,26,NA,NA,NA,NA,NA,"0,018018018018018","0,108108108108108","0,117117117117117","0,036036036036036","0,297297297297297","0,153153153153153","0,225225225225225","0,153153153153153","0,351351351351351","0,207207207207207","0,198198198198198","0,0540540540540541",Leuven
44,B&B Annais,/Hotel_Review-g188669-d3321202-Reviews-B_B_Annais-Leuven_Flemish_Brabant_Province.html,"3,5",2,N. 21 di 26 Bed & Breakfast a Leuven,"50,925732","4,69945",NA,0,Gebroeders Tassetstraat 90,NA,NA,NA,NaN,0,0,0,0,0,0,0,0,Eccellente0Molto buono0Nella media0Scarso0Pessimo0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,Leuven
36,Boutique Hotel Loven,/Hotel_Review-g188669-d12620280-Reviews-Boutique_Hotel_Loven-Leuven_Flemish_Brabant_Province.html,5,1,N. 14 di 19 altri alloggi a Leuven,"50,879238","4,699788",3,Vedi tutte le foto (25)25,Parijsstraat 7,NA,ui_star_rating star_30,NA,NaN,0,0,0,0,0,0,0,0,Eccellente0Molto buono0Nella media0Scarso0Pessimo0,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,NA,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,Leuven
10,Ibis Leuven Centrum,/Hotel_Review-g188669-d206729-Reviews-Ibis_Leuven_Centrum-Leuven_Flemish_Brabant_Province.html,"3,5",509,N. 8 di 18 hotel a Leuven,"50,880192","4,697479",NA,Vedi tutte le foto (115)115,Brusselsestraat 52,NA,NA,NA,3.6,11,126,51,82,57,176,83,95,Eccellente10Molto buono31Nella media33Scarso6Pessimo2,Italiano (46),Inglese (69),Olandese (23),NA,NA,NA,NA,16,54,45,8,3,82,NA,NA,NA,NA,NA,"0,031434184675835","0,106090373280943","0,0884086444007859","0,0216110019646365","0,2475442043222","0,100196463654224","0,161100196463654","0,111984282907662","0,345776031434185","0,163064833005894","0,18664047151277","0,0157170923379175",Leuven
